Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Assay	Annotation	Action	Modification	Source	Reference	Note
EMP24	YGL200C	ERG4	YGL012W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERP1	YAR002C-A	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2002) PMID:11805826	
EMP24	YGL200C	ERP1	YAR002C-A	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Marzioch M, et al. (1999) PMID:10359606	
EMP24	YGL200C	ERP1	YAR002C-A	Co-fractionation	manually curated	Hit	No Modification	BioGRID	Otte S, et al. (2001) PMID:11157978	
EMP24	YGL200C	ERP1	YAR002C-A	Co-fractionation	manually curated	Hit	No Modification	BioGRID	Marzioch M, et al. (1999) PMID:10359606	
EMP24	YGL200C	ERP1	YAR002C-A	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
EMP24	YGL200C	ERP1	YAR002C-A	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
EMP24	YGL200C	ERP1	YAR002C-A	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
EMP24	YGL200C	ERP1	YAR002C-A	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP1	YAR002C-A	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP1	YAR002C-A	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERP1	YAR002C-A	Cross-Linking-MS (XL-MS)	high-throughput	Bait	No Modification	BioGRID	Bartolec TK, et al. (2020) PMID:31851481	High confidence nuclear protein interaction (master proteins, strict 1% FDR, 2 or more unqiue peptides)|Intact nuclei cross-linked with disuccinimidyl sulfoxide (DSSO)|Inter-protein crosslinks identified using search delta XlinkX >= 10 and XlinkX score >= 60.
EMP24	YGL200C	ERP2	YAL007C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2002) PMID:11805826	
EMP24	YGL200C	ERP2	YAL007C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
EMP24	YGL200C	ERP2	YAL007C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
EMP24	YGL200C	ERP2	YAL007C	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ERP2	YAL007C	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP2	YAL007C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP2	YAL007C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERP3	YDL018C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
EMP24	YGL200C	ERP3	YDL018C	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP3	YDL018C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP3	YDL018C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERP4	YOR016C	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ERP4	YOR016C	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP4	YOR016C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP4	YOR016C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERP5	YHR110W	PCA	high-throughput	Hit	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ERP5	YHR110W	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP5	YHR110W	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP5	YHR110W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERP6	YGL002W	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Hirata R, et al. (2013) PMID:24217251	
EMP24	YGL200C	ERP6	YGL002W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERV14	YGL054C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERV2	YPR037C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERV25	YML012W	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Belden WJ and Barlowe C (1996) PMID:8900179	Crosslinking
EMP24	YGL200C	ERV25	YML012W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
EMP24	YGL200C	ERV25	YML012W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
EMP24	YGL200C	ERV25	YML012W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
EMP24	YGL200C	ERV25	YML012W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ERV25	YML012W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Babu M, et al. (2012) PMID:22940862	Purification data downloaded from http://wodaklab.org/membrane_web/downloads/Purifications.zip, filtered for LCMS/MS confidence > 90% and MALDI-TOF Z-score > 1.
EMP24	YGL200C	ERV25	YML012W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERV29	YGR284C	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	ERV29	YGR284C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERV41	YML067C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ERV46	YAL042W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	ESS1	YJR017C	Protein-peptide	high-throughput	Hit	No Modification	BioGRID	Hesselberth JR, et al. (2006) PMID:16606443	A protein microarray was probed with the WW domain from ESS1 (YJR017C).|High Throughput: Each WW-domain was used as a probe for two separate protein microarrays.  Only those in which four independent interactions were osbserved were considered high-confidence (i.e. significant signals found for proteins printed in duplicate on two separate microarrays).
EMP24	YGL200C	GAS1	YMR307W	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Muñiz M, et al. (2000) PMID:10704443	Crosslinking
EMP24	YGL200C	GAS1	YMR307W	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Castillon GA, et al. (2011) PMID:21680708	
EMP24	YGL200C	GAS1	YMR307W	Affinity Capture-Western	manually curated	Hit	No Modification	BioGRID	Rodriguez-Gallardo S, et al. (2022) PMID:35508142	
EMP24	YGL200C	GAS3	YMR215W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	GDT1	YBR187W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	GEA1	YJR031C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Sabido-Bozo S, et al. (2021) PMID:33401608	
EMP24	YGL200C	GLO3	YER122C	Affinity Capture-Western	manually curated	Bait	No Modification	BioGRID	Aguilera-Romero A, et al. (2008) PMID:18283113	
EMP24	YGL200C	GOS1	YHL031C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	GRX7	YBR014C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	GSF2	YML048W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	GSY1	YFR015C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
EMP24	YGL200C	HMG1	YML075C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	HMO1	YDR174W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
EMP24	YGL200C	HOC1	YJR075W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	HSC82	YMR186W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Kolhe JA, et al. (2023) PMID:37295430	
EMP24	YGL200C	HSP104	YLL026W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Hill SM, et al. (2016) PMID:27373154	
EMP24	YGL200C	HSP104	YLL026W	Affinity Capture-MS	manually curated	Hit	No Modification	BioGRID	Kohler V, et al. (2024) PMID:38182580	
EMP24	YGL200C	HSP78	YDR258C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Bertgen L, et al. (2024) PMID:38551959	in rho0 background
EMP24	YGL200C	IFA38	YBR159W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	KTR3	YBR205W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	LAA1	YJL207C	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Marmorale LJ, et al. (2024) PMID:38240799	
EMP24	YGL200C	LCB2	YDR062W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	MNN11	YJL183W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	MNN9	YPL050C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	MPS3	YJL019W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Bommi JR, et al. (2019) PMID:30417519	interaction detected in meiosis
EMP24	YGL200C	MST27	YGL051W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	NAB2	YGL122C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Batisse J, et al. (2009) PMID:19840948	High Throughput: The experiment involved high-throughput sequencing of the RNAs that co-precipitated with TAP-tagged Nab2 (Nab2-TAP).
EMP24	YGL200C	NMD5	YJR132W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Gavin AC, et al. (2006) PMID:16429126	
EMP24	YGL200C	NOP1	YDL014W	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
EMP24	YGL200C	OCH1	YGL038C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	OLE1	YGL055W	Affinity Capture-MS	high-throughput	Hit	No Modification	BioGRID	Michaelis AC, et al. (2023) PMID:37968396	Protein interactions were identified using statistically significant enrichment of the proteins in the forward and reverse pull-downs, as well as making use of the profile similarities of interacting proteins in a correlation analysis. High confidence interactions have a total score >=2. This score is a sum of the FDR score of the forward pull-down + FDR score of the reverse pull-down + correlation score.
EMP24	YGL200C	OPT2	YPR194C	PCA	high-throughput	Hit	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	OST4	YDL232W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
EMP24	YGL200C	PAT1	YCR077C	Affinity Capture-RNA	high-throughput	Hit	No Modification	BioGRID	Mitchell SF, et al. (2013) PMID:23222640	UV cross-linking followed by immunoprecipitation
EMP24	YGL200C	PBP4	YDL053C	Affinity Capture-MS	high-throughput	Bait	No Modification	BioGRID	Krogan NJ, et al. (2006) PMID:16554755	
EMP24	YGL200C	PHO86	YJL117W	PCA	high-throughput	Bait	No Modification	BioGRID	Miller JP, et al. (2005) PMID:16093310	A large-scale split-ubiquitin screen was performed to identify interactions between integral membrane proteins.
